entity_id,designacao,siglas,sioe_code,nif,categoria_id,ministerio,tutela,website,morada,distrito,estado,criado_em,alterado_em,notas
cejure-centro-juridico-do-estado,Centro Jurídico do Estado,CEJURE,,,secretaria_geral_governo,Primeiro-Ministro,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
espap-i-p-entidade-de-servicos-partilhados-da-administracao-,"Entidade de Serviços Partilhados da Administração Pública, I.P.","ESPAP, I.P.",,,secretaria_geral_governo,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
igf-inspecao-geral-de-financas,Inspeção-Geral de Finanças,IGF,,,secretaria_geral_governo,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sg-gov-secretaria-geral-do-governo,Secretaria-Geral do Governo,SG GOV,,,secretaria_geral_governo,Ministério da Presidência,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgp-secretaria-geral-da-presidencia,Secretaria-Geral da Presidência,SGP,,,secretarias_gerais,Presidência do Governo Regional dos Açores,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
secretaria-geral-da-presidencia-da-republica,Secretaria-Geral da Presidência da República,,,,secretarias_gerais,,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sggov-secretaria-geral-do-governo,Secretaria-Geral do Governo,SGGOV,,,secretarias_gerais,Presidência do Conselho de Ministros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgmai-secretaria-geral-do-ministerio-da-administracao-intern,Secretaria-Geral do Ministério da Administração Interna,SGMAI,,,secretarias_gerais,Ministério da Administração Interna,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sg-dn-secretaria-geral-do-ministerio-da-defesa-nacional,Secretaria-Geral do Ministério da Defesa Nacional,SG DN,,,secretarias_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgmdn-secretaria-geral-do-ministerio-da-defesa-nacional,Secretaria-Geral do Ministério da Defesa Nacional,SGMDN,,,secretarias_gerais,Ministério da Defesa Nacional,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgmj-secretaria-geral-do-ministerio-da-justica,Secretaria-Geral do Ministério da Justiça,SGMJ,,,secretarias_gerais,Ministério da Justiça,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgmf-secretaria-geral-do-ministerio-das-financas,Secretaria-Geral do Ministério das Finanças,SGMF,,,secretarias_gerais,Ministério das Finanças,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sgmtsss-secretaria-geral-do-ministerio-do-trabalho-solidarie,"Secretaria-Geral do Ministério do Trabalho, Solidariedade e Segurança Social",SGMTSSS,,,secretarias_gerais,"Ministério do Trabalho, Solidariedade e Segurança Social",,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
sg-mne-secretaria-geral-do-ministerio-dos-negocios-estrangei,Secretaria-Geral do Ministério dos Negócios Estrangeiros,SG MNE,,,secretarias_gerais,Ministério dos Negócios Estrangeiros,,,,,ativa,2026-04-22 00:34:42,2026-04-22 00:34:42,
